codigo,nombre,categoria
SIL-001,Silla Tiffany blanca,Sillas
SIL-002,Silla Tiffany dorada,Sillas
SIL-003,Silla Napoleón transparente,Sillas
SIL-004,Silla Crossback natural,Sillas
MES-001,Mesa redonda 1.50 m,Mesas
MES-002,Mesa redonda 1.80 m,Mesas
MES-005,Mesa imperial madera 3 m,Mesas
LOU-001,Sala lounge lino crudo,Lounge
LOU-002,Puff cubo cuero café,Lounge
BAR-002,Barra de bebidas madera 2.4 m,Barras
ILU-003,Lámpara de pie Edison,Iluminación
MAN-001,Mantel lino arena 3 m,Mantelería
DEC-004,Centro de mesa floral bajo,Decoración
TAR-001,Tarima 6 x 4 m,Estructuras
CAR-001,Carpa 10 x 10 m,Estructuras
